,id,campaign_id,coupon_id,customer_id,redemption_status,campaign_type,start_date,end_date,campaign_type_X,campaign_type_Y,campaign_duration_days,age_range,marital_status,rented,family_size,no_of_children,income_bracket,age_range_18-25,age_range_26-35,age_range_36-45,age_range_46-55,age_range_56-70,age_range_70+,marital_status_Married,marital_status_Single,has_demographics,n_category_matches,n_brand_matches,coupon_relevance_ratio,n_transactions,total_spend,avg_spend,coupon_usage_rate,coupon_discount_ratio
0,1,13,27,1053,0,X,2013-05-19,2013-07-05,1,0,47,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,191,0,0.7074074074074074,270,45754.09,169.45959259259257,0.0,-0.0
1,2,13,116,48,0,X,2013-05-19,2013-07-05,1,0,47,36-45,Married,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,216,85,0.8502824858757062,354,85300.56,240.96203389830507,0.0338983050847457,0.0145109246645039
2,6,9,635,205,0,Y,2013-03-11,2013-04-12,0,1,32,46-55,Married,0.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,72,0,0.0936280884265279,769,91806.58,119.38436931079325,0.0975292587776332,0.0198222175360415
3,7,13,644,1050,0,X,2013-05-19,2013-07-05,1,0,47,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,0,0.782051282051282,234,23028.54,98.4125641025641,0.0085470085470085,0.007733881522667
4,9,8,1017,1489,0,X,2013-02-16,2013-04-05,1,0,48,46-55,Married,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,283,0,0.6885644768856448,411,52827.5,128.53406326034064,0.0170316301703163,0.0029937059296767
5,11,11,795,793,0,Y,2013-04-22,2013-06-07,0,1,46,46-55,Married,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,346,0,0.2061978545887962,1678,249106.15,148.45420143027414,0.0148986889153754,0.0039736875223674
6,14,9,444,590,0,Y,2013-03-11,2013-04-12,0,1,32,36-45,Married,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,648,4,0.6014760147601476,1084,152056.49,140.2735147601476,0.0027675276752767,0.0010658538810148
7,15,29,538,368,0,Y,2012-10-08,2012-11-30,0,1,53,36-45,Married,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,797,12,0.7203918076580588,1123,124347.72,110.72815672306322,0.0017809439002671,0.000443996882291
8,17,30,857,523,0,X,2012-11-19,2013-01-04,1,0,46,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143,0,0.8562874251497006,167,20033.71,119.96233532934131,0.059880239520958,0.0104898194093854
9,19,2,559,679,0,Y,2012-12-17,2013-01-18,0,1,32,36-45,Single,1.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,52,10,0.0720930232558139,860,101495.64,118.01818604651164,0.0,-0.0
10,20,9,575,108,0,Y,2013-03-11,2013-04-12,0,1,32,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,132,0,0.6804123711340206,194,31466.96,162.20082474226805,0.345360824742268,0.0783888879001975
11,21,13,1028,89,0,X,2013-05-19,2013-07-05,1,0,47,46-55,Married,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,415,1,0.7260034904013961,573,63516.62,110.8492495636998,0.0732984293193717,0.0195992796845927
12,22,9,705,712,0,Y,2013-03-11,2013-04-12,0,1,32,46-55,Married,0.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,453,2,0.7245222929936306,628,78954.17,125.72320063694268,0.0525477707006369,0.0110080316213823
13,23,13,517,1067,0,X,2013-05-19,2013-07-05,1,0,47,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,111,0,0.1278801843317972,868,100255.84,115.5021198156682,0.0126728110599078,0.0022561279223235
14,24,5,893,761,0,Y,2013-01-12,2013-02-15,0,1,34,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,0,0.3382899628252788,269,22361.75,83.12918215613382,0.0,-0.0
15,25,13,796,248,0,X,2013-05-19,2013-07-05,1,0,47,36-45,Single,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1165,13,0.8002717391304348,1472,100328.43,68.15790081521739,0.0258152173913043,0.0103634632775575
