,id,campaign_id,coupon_id,customer_id,campaign_type,start_date,end_date,campaign_type_X,campaign_type_Y,campaign_duration_days,age_range,marital_status,rented,family_size,no_of_children,income_bracket,age_range_18-25,age_range_26-35,age_range_36-45,age_range_46-55,age_range_56-70,age_range_70+,marital_status_Married,marital_status_Single,has_demographics,n_category_matches,n_brand_matches,coupon_relevance_ratio,n_transactions,total_spend,avg_spend,coupon_usage_rate,coupon_discount_ratio
0,3,22,869,967,X,2013-09-16,2013-10-18,1,0,32,36-45,Married,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,980,15,0.7305433186490455,1362,156733.77000000002,115.07618942731278,0.05947136563876652,0.013474186194844924
1,4,20,389,1566,Y,2013-09-07,2013-11-16,0,1,70,26-35,Married,0.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,622,11,0.237880496054115,2661,297070.87,111.63880871852687,0.011649755730928222,0.005015537201611185
2,5,22,981,510,X,2013-09-16,2013-10-18,1,0,32,26-35,Married,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1236,0,0.7527405602923264,1642,161811.27000000002,98.54523142509136,0.0341047503045067,0.014737848605971634
3,8,25,1069,361,Y,2013-10-21,2013-11-22,0,1,32,18-25,Married,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,454,0,0.7923211169284468,573,49149.16,85.77514834205934,0.0,-0.0
4,10,17,498,811,Y,2013-07-29,2013-08-30,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,994,8,0.759666413949962,1319,117044.09,88.73699014404852,0.002274450341167551,0.0007607389659742751
5,12,25,44,1498,Y,2013-10-21,2013-11-22,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,485,11,0.7619047619047619,651,61976.68,95.20227342549923,0.006144393241167435,0.0026150158414422974
6,13,18,713,682,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56,0,0.07567567567567568,740,66959.58,90.48591891891893,0.04054054054054054,0.013878969969644371
7,16,22,1079,1186,X,2013-09-16,2013-10-18,1,0,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,874,1,0.721947194719472,1212,163394.34999999998,134.81382013201318,0.0008250825082508251,0.00016346954469355888
8,18,18,199,1023,X,2013-08-10,2013-10-04,1,0,55,18-25,Single,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2332,1099,1.2540204678362572,2736,204217.99000000002,74.64107821637428,0.00402046783625731,0.0024506166180560287
9,31,22,583,315,X,2013-09-16,2013-10-18,1,0,32,36-45,Married,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,586,0,0.7541827541827542,777,109066.11,140.36822393822393,0.02445302445302445,0.008305146300716142
10,36,18,499,464,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3064,1,0.7414126753749395,4134,432020.30000000005,104.5041848089018,0.053217223028543786,0.017473229845912333
11,37,18,223,421,X,2013-08-10,2013-10-04,1,0,55,56-70,Married,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1017,177,0.8240165631469979,1449,187209.53999999998,129.1991304347826,0.00759144237405107,0.002935747825671705
12,38,22,452,1323,X,2013-09-16,2013-10-18,1,0,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,776,1,0.8222222222222222,945,64527.92999999999,68.2835238095238,0.005291005291005291,0.002815215054938226
13,40,18,592,527,X,2013-08-10,2013-10-04,1,0,55,36-45,Married,0.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,244,1,0.6380208333333334,384,56510.149999999994,147.1618489583333,0.0,-0.0
14,41,20,836,744,Y,2013-09-07,2013-11-16,0,1,70,70+,Married,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,29,0,0.029116465863453816,996,82425.6,82.7566265060241,0.0,-0.0
15,44,18,418,1545,X,2013-08-10,2013-10-04,1,0,55,36-45,Married,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,731,8,0.6836262719703978,1081,180191.35,166.68950046253468,0.025901942645698426,0.0038646139229213824
16,47,20,671,379,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2049,3,0.7679640718562875,2672,329583.88,123.34726047904192,0.0074850299401197605,0.00287149966193735
17,49,20,264,1082,Y,2013-09-07,2013-11-16,0,1,70,56-70,Single,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,78,1,0.15134099616858238,522,91601.97,175.48270114942528,0.03065134099616858,0.004432764928527192
